acc	gp	match_score	canonical_agrD	multiple_agr	frameshifts
ERX139249	gp3	15	1	s	0
ERX139259	gp3	15	1	s	1
ERX139260	gp3	15	1	s	0
ERX139284	gp2	15	1	s	0
ERX139294	gp4	14	1	s	0
ERX139300	gp2	15	1	m	0
ERX139321	gp2	15	1	s	0
ERX139326	gp2	15	1	s	0
ERX139357	gp1	13	1	s	0
ERX139358	gp1	13	1	s	0
ERX139448	gp1	13	1	s	0
ERX139517	gp1	13	1	s	0
ERX139609	gp1	13	1	s	0
ERX147798	gp1	13	1	s	0
ERX147854	gp1	13	1	s	0
ERX1492886	gp3	15	1	s	0
ERX1492888	gp3	15	1	s	1
ERX1492889	gp1	13	1	s	0
ERX1492898	gp2	15	1	s	0
ERX1492910	gp3	15	1	s	0
ERX151999	gp3	15	1	s	0
ERX152010	gp3	15	1	s	0
ERX152013	gp1	5	1	s	0
ERX152017	gp3	15	1	s	0
ERX152020	gp2	15	1	m	0
ERX152032	gp1	13	1	s	0
ERX152041	gp1	13	1	s	0
ERX152056	gp1	13	1	s	0
ERX152079	gp1	13	1	s	0
ERX152080	gp1	13	1	s	0
ERX186293	gp3	15	1	s	0
ERX186305	gp3	15	1	s	0
ERX186326	gp3	15	1	s	0
ERX186340	gp3	15	1	s	0
ERX186342	gp3	15	1	s	0
ERX186358	gp1	5	1	s	0
ERX186568	gp1	13	1	s	0
ERX186596	gp1	13	1	s	0
ERX186615	gp3	15	1	s	0
ERX186628	gp3	15	1	s	0
ERX186635	gp2	15	1	m	0
ERX197772	gp3	15	1	s	0
ERX197824	gp3	15	1	s	0
ERX197833	gp2	15	1	m	0
ERX197834	gp3	15	1	s	0
ERX204858	gp1	13	1	s	0
ERX204870	gp1	13	1	s	0
ERX204897	gp1	13	1	s	0
ERX209308	gp3	14	1	s	0
ERX209321	gp2	15	1	s	0
ERX209354	gp3	15	1	s	0
ERX209359	gp1	13	1	s	0
ERX209366	gp1	13	1	s	0
ERX209383	gp1	13	1	s	0
ERX209409	gp1	13	1	s	0
ERX209423	gp1	13	1	s	0
ERX209541	gp1	13	1	s	0
ERX212094	gp1	13	1	s	0
ERX212124	gp1	13	1	s	0
ERX212136	gp3	15	1	m	0
ERX212156	gp2	15	1	s	1
ERX212158	gp2	15	1	s	1
ERX212161	gp1	13	1	m	0
ERX212185	gp1	13	1	s	0
ERX212212	gp1	13	1	s	0
ERX212248	gp1	13	1	s	0
ERX221133	gp1	13	1	s	0
ERX221148	gp2	15	1	m	0
ERX221156	gp1	13	1	s	0
ERX221160	gp1	13	1	s	0
ERX221167	gp1	5	1	s	0
ERX221179	gp2	15	1	s	1
ERX221188	gp1	13	1	s	0
ERX221189	gp1	5	1	s	0
ERX221191	gp2	15	1	s	1
ERX221193	gp1	13	1	s	1
ERX221198	gp1	12	1	s	0
ERX221199	gp2	15	1	m	1
ERX221200	gp1	13	1	m	0
ERX267641	gp1	13	1	s	0
ERX267643	gp3	15	1	s	0
ERX267645	gp3	15	1	s	1
ERX267646	gp4	14	1	s	0
ERX267656	gp4	14	1	s	1
ERX267665	gp3	15	1	s	0
ERX267668	gp3	15	1	m	0
ERX267672	gp4	14	1	s	1
ERX267688	gp3	15	1	s	0
ERX267690	gp1	13	1	m	0
ERX267696	gp3	15	1	s	0
ERX275992	gp3	15	1	s	0
ERX276008	gp3	13	1	m	0
ERX276022	gp3	15	1	s	0
ERX276099	gp1	13	1	s	0
ERX276156	gp1	13	1	s	0
ERX284121	gp1	13	1	s	0
ERX284138	gp1	13	1	s	0
ERX284165	gp1	5	1	s	0
ERX311502	gp1	13	1	s	0
ERX328680	gp1	13	1	s	0
ERX359306	gp3	15	1	s	0
ERX359308	gp3	15	1	s	0
ERX359315	gp2	15	1	s	0
ERX359322	gp3	15	1	s	0
ERX359340	gp4	14	1	s	0
ERX359396	gp1	13	1	s	0
ERX359400	gp1	5	1	s	0
ERX359416	gp3	15	1	s	0
ERX359417	gp3	15	1	s	0
ERX359425	gp2	15	1	s	2
ERX359449	gp3	15	1	s	0
ERX359456	gp2	15	1	s	1
ERX359459	gp1	13	1	s	0
ERX360772	gp2	15	1	s	0
ERX360785	gp4	14	1	m	u
ERX376396	gp1	13	1	s	0
ERX376407	gp2	15	1	s	0
ERX376412	gp1	13	1	s	0
ERX376432	gp1	13	1	s	0
ERX376440	gp1	13	1	s	0
ERX376448	gp2	15	1	s	0
ERX376477	gp1	13	1	s	0
ERX376484	gp3	15	1	s	0
ERX376490	gp2	15	1	s	0
ERX384688	gp3	15	1	s	0
ERX384694	gp3	15	1	s	0
ERX384792	gp2	15	1	s	0
ERX385118	gp1	13	1	s	0
ERX385123	gp1	12	1	s	0
ERX385128	gp1	13	1	s	u
ERX385133	gp1	13	1	s	0
ERX385138	gp1	13	1	s	0
ERX385143	gp4	14	1	s	1
ERX385144	gp1	13	1	s	0
ERX385155	gp1	13	1	s	0
ERX385162	gp1	13	1	s	0
ERX385171	gp3	15	1	s	0
ERX385188	gp1	13	1	s	0
ERX385214	gp1	13	1	s	0
ERX385218	gp2	15	1	s	0
ERX385233	gp1	13	1	s	0
ERX385253	gp2	15	1	s	0
ERX385260	gp1	13	1	s	0
ERX385293	gp1	13	1	s	0
ERX385303	gp3	15	1	m	0
ERX385312	gp1	5	1	s	0
ERX385327	gp4	14	1	s	1
ERX385344	gp1	5	1	s	0
ERX385348	gp1	13	1	s	0
ERX385356	gp1	13	1	s	u
ERX385359	gp3	15	1	s	0
ERX385388	gp2	15	1	s	0
ERX385391	gp3	15	1	s	0
ERX385397	gp1	13	1	s	0
ERX385405	gp1	5	1	s	0
ERX385407	gp1	13	1	s	0
ERX385418	gp1	13	1	s	0
ERX385423	gp1	13	1	s	u
ERX385430	gp3	4	u	s	u
ERX385448	gp1	13	1	s	0
ERX385461	gp2	15	1	s	0
ERX385470	gp2	15	1	s	0
ERX385504	gp1	13	1	s	0
ERX385510	gp3	15	1	s	0
ERX385528	gp3	15	1	s	1
ERX385530	gp3	15	1	s	0
ERX385531	gp2	15	1	s	0
ERX455866	gp4	14	1	s	0
ERX455872	gp4	14	1	s	0
ERX455889	gp2	15	1	s	1
ERX455891	gp2	15	1	s	u
ERX455892	gp3	14	1	s	0
ERX455900	gp1	12	1	s	0
ERX455904	gp2	15	1	s	1
ERX455914	gp2	15	1	s	1
ERX455939	gp3	15	1	s	0
ERX460155	gp1	4	u	m	u
ERX460160	gp2	15	1	s	1
ERX460162	gp1	13	1	s	0
ERX470605	gp3	15	1	s	0
ERX470614	gp3	15	1	s	0
ERX470705	gp4	14	1	s	1
ERX470719	gp3	15	1	s	0
ERX470724	gp3	15	1	s	0
ERX470730	gp4	14	1	s	1
ERX470745	gp1	13	1	s	0
ERX470753	gp1	13	1	s	0
ERX490129	gp1	5	1	s	0
ERX490131	gp1	5	1	s	0
ERX490145	gp1	5	1	s	0
ERX490159	gp1	5	1	s	0
ERX490180	gp1	5	1	s	0
ERX490219	gp1	5	1	s	0
ERX490230	gp2	15	1	s	0
ERX490232	gp1	13	1	s	0
ERX490237	gp1	5	1	s	0
ERX490254	gp1	5	1	s	1
ERX490270	gp1	5	1	s	0
ERX490281	gp1	5	1	s	0
ERX490292	gp1	5	1	s	0
ERX490295	gp3	15	1	s	0
ERX490299	gp1	5	1	s	0
ERX490303	gp1	13	1	s	0
ERX490306	gp3	14	1	s	1
ERX490314	gp1	5	1	s	0
ERX490319	gp1	5	1	s	0
ERX490321	gp1	5	1	s	0
ERX490324	gp1	5	1	s	0
ERX490372	gp1	5	1	s	0
ERX490376	gp3	15	1	s	0
ERX490383	gp3	15	1	s	0
ERX490399	gp1	5	1	s	0
ERX551116	gp2	15	1	s	0
ERX551145	gp2	15	1	s	0
ERX551158	gp1	13	1	s	u
ERX551161	gp2	15	1	s	0
ERX551162	gp1	13	1	s	0
ERX551171	gp1	13	1	s	0
ERX551557	gp1	13	1	s	0
ERX551816	gp1	13	1	s	1
ERX552039	gp1	9	1	s	u
ERX552062	gp1	13	1	s	0
ERX552100	gp1	13	1	s	0
ERX552134	gp2	15	1	s	0
ERX552176	gp3	15	1	s	0
ERX552179	gp2	15	1	s	0
ERX552208	gp2	15	1	s	0
ERX556656	gp1	12	1	s	0
ERX556658	gp1	13	1	s	0
ERX556673	gp3	15	1	s	0
ERX556677	gp1	5	1	s	0
ERX556743	gp1	13	1	s	0
ERX556762	gp3	15	1	s	0
ERX556785	gp2	15	1	s	0
ERX556803	gp1	5	1	s	0
ERX556844	gp1	5	1	s	0
ERX556850	gp3	15	1	s	0
ERX589416	gp3	15	1	s	0
ERX589419	gp3	15	1	s	0
ERX589420	gp1	5	1	s	0
ERX676585	gp1	13	1	s	0
ERX910041	gp2	15	1	s	0
ERX910048	gp1	7	1	s	0
ERX910050	gp1	13	1	s	0
ERX910051	gp1	13	1	s	0
ERX926274	gp3	15	1	s	0
ERX926370	gp3	15	1	s	0
ERX979780	gp1	5	1	s	0
SRX1051301	gp1	13	1	s	0
SRX1051309	gp1	13	1	s	0
SRX1051322	gp2	15	1	s	0
SRX1051339	gp3	15	1	s	0
SRX1051358	gp4	14	1	s	1
SRX1051360	gp2	15	1	s	0
SRX1051363	gp3	13	1	m	0
SRX1051368	gp3	15	1	s	1
SRX1051395	gp1	13	1	s	0
SRX1051398	gp2	15	1	s	0
SRX1051402	gp2	15	1	s	0
SRX1051405	gp1	13	1	s	0
SRX1051412	gp2	15	1	s	0
SRX1051417	gp2	15	1	s	0
SRX1051420	gp4	14	1	s	1
SRX1051421	gp1	13	1	s	0
SRX1051431	gp1	13	1	s	0
SRX1051434	gp1	5	1	s	0
SRX1051438	gp1	13	1	s	0
SRX1051441	gp1	5	1	s	0
SRX1051454	gp2	15	1	s	0
SRX1051481	gp3	15	1	s	0
SRX1051483	gp4	14	1	s	1
SRX1051493	gp1	13	1	s	0
SRX1051497	gp4	14	1	s	1
SRX1051498	gp3	15	1	s	0
SRX1051502	gp1	12	1	s	0
SRX1051504	gp3	15	1	s	1
SRX1051508	gp1	13	1	s	0
SRX1051516	gp1	13	1	s	0
SRX1051522	gp3	15	1	s	0
SRX1051547	gp3	15	1	s	0
SRX1051553	gp2	15	1	s	1
SRX1051556	gp3	15	1	m	u
SRX1051561	gp3	15	1	m	0
SRX1051572	gp1	13	1	s	0
SRX2122523	gp2	15	1	s	u
SRX2122562	gp1	13	1	s	0
SRX2147155	gp1	13	1	s	0
SRX2219177	gp1	13	1	s	0
SRX2219190	gp2	15	1	s	0
SRX2219221	gp2	15	1	s	0
SRX2219265	gp1	13	1	s	0
SRX2219480	gp1	5	1	s	0
SRX2369545	gp3	15	1	s	0
SRX456475	gp3	15	1	s	0
SRX476963	gp2	15	1	s	0
SRX476967	gp2	15	1	m	0
SRX477008	gp3	15	1	s	0
SRX477009	gp1	13	1	m	0
SRX477010	gp2	15	1	s	0
SRX477016	gp2	15	1	s	0
SRX477024	gp1	13	1	m	0
SRX477027	gp1	13	1	m	0
SRX791926	gp1	13	1	s	0
SRX791933	gp1	13	1	s	0
SRX864954	gp2	15	1	s	u
SRX864956	gp3	15	1	s	0
SRX866194	gp2	15	1	s	1
SRX886997	gp1	13	1	s	0
SRX887024	gp1	13	1	s	0
SRX887117	gp1	13	1	s	0
SRX887142	gp1	13	1	s	0
