operon_acc	operon_repacc	AgrA_repacc	AgrB_repacc	AgrC_repacc	CC	gp	fs
ERX015591	ERX015591	ERX015878	ERX063815	ERX015591	Other	gp1	0
ERX015594	ERX015594	ERX015594	ERX015893	ERX062451	CC15	gp2	1
ERX015595	ERX015595	ERX015344	ERX015893	ERX015874	CC5	gp2	0
ERX015854	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX015855	ERX015855	ERX015344	ERX015308	ERX015855	CC30	gp3	0
ERX015856	ERX015856	ERX015344	ERX015344	ERX015856	Other	gp1	0
ERX015857	ERX015857	NA	ERX015893	ERX015857	CC5	gp2	0
ERX015859	ERX015859	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX015860	ERX015860	ERX015344	ERX1149974	ERX1149974	CC95	gp4	0
ERX015861	ERX015861	ERX015344	ERX015308	ERX015861	CC30	gp3	0
ERX015862	ERX015862	ERX015344	ERX015893	ERX015862	CC5	gp2	0
ERX015863	ERX015863	ERX015344	ERX015893	SRX887153	CC5	gp2	1
ERX015864	ERX015864	ERX015344	ERX1033534	NA	CC398	gp1	1
ERX015865	ERX015865	ERX015344	ERX015556	ERX015556	Other	gp1	0
ERX015866	ERX015866	ERX015878	ERX015893	ERX015866	CC15	gp2	0
ERX015867	ERX015867	ERX015878	ERX063815	ERX015867	Other	gp1	0
ERX015868	ERX015860	ERX015344	ERX1149974	ERX1149974	Other	gp4	0
ERX015869	ERX015869	ERX015878	ERX063815	ERX015556	Other	gp1	0
ERX015870	ERX015870	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX015871	ERX015871	ERX015344	ERX015556	ERX015556	CC45	gp1	0
ERX015874	ERX015874	ERX015344	ERX015893	ERX015874	CC5	gp2	0
ERX015876	ERX015876	ERX015878	ERX015893	SRX887153	CC15	gp2	1
ERX015877	ERX001290	ERX015344	ERX063815	ERX001290	Other	gp1	0
ERX015878	ERX015878	ERX015878	ERX015893	ERX062451	CC15	gp2	0
ERX015879	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX015881	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX015882	ERX015882	ERX015344	ERX015556	ERX015556	CC45	gp1	0
ERX015884	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX015885	ERX015871	ERX015344	ERX015556	ERX015556	CC45	gp1	0
ERX015886	ERX015886	ERX015344	ERX047894	ERX015886	Other	gp3	0
ERX015888	ERX015888	ERX015344	ERX047894	ERX015888	CC1	gp3	0
ERX015889	ERX015889	ERX015344	ERX063815	ERX030076	Other	gp1	0
ERX015890	ERX015890	ERX015344	ERX015893	ERX062451	CC5	gp2	0
ERX015891	ERX015874	ERX015344	ERX015893	ERX015874	CC5	gp2	0
ERX015892	ERX015878	ERX015878	ERX015893	ERX062451	CC15	gp2	0
ERX015893	ERX015893	ERX015344	ERX015893	ERX062451	CC5	gp2	0
ERX015898	ERX015878	ERX015878	ERX015893	ERX062451	CC15	gp2	0
ERX015899	ERX015899	ERX015344	ERX015556	ERX015899	CC45	gp1	0
ERX016584	ERX016584	ERX015344	ERX015893	ERX016584	CC5	gp2	0
ERX016585	ERX016585	ERX015878	ERX063815	ERX015556	Other	gp1	0
ERX016586	ERX015591	ERX015878	ERX063815	ERX015591	Other	gp1	0
ERX016587	ERX015556	ERX015344	ERX015556	ERX015556	CC45	gp1	0
ERX016589	ERX015594	ERX015594	ERX015893	ERX062451	CC15	gp2	1
ERX016590	ERX015595	ERX015344	ERX015893	ERX015874	CC5	gp2	0
ERX016592	ERX016592	ERX015878	ERX015893	ERX016592	Other	gp2	0
ERX016593	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX016594	ERX015893	ERX015344	ERX015893	ERX062451	CC5	gp2	0
ERX016595	ERX016595	ERX139249	ERX1820781	ERX062354	Other	gp3	0
ERX020498	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX020502	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX020506	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX020510	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021270	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021274	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021278	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021282	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021286	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021290	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021294	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021298	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021302	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021306	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021310	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021314	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021318	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021322	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021326	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021329	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021334	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021338	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021342	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021346	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021350	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021357	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021361	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021364	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021368	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX021668	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021669	ERX015358	ERX015358	ERX015344	ERX015344	CC22	gp1	0
ERX021670	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021671	ERX010240	ERX015344	ERX015344	ERX010240	CC22	gp1	0
ERX021672	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021673	ERX010240	ERX015344	ERX015344	ERX010240	CC22	gp1	0
ERX021674	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021675	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021676	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021677	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021678	ERX010240	ERX015344	ERX015344	ERX010240	CC22	gp1	0
ERX021679	ERX021679	ERX015344	ERX015344	ERX021679	CC22	gp1	0
ERX021680	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021681	ERX021681	ERX015344	ERX015344	ERX021681	CC22	gp1	0
ERX021682	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021683	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021684	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021685	ERX010240	ERX015344	ERX015344	ERX010240	CC22	gp1	0
ERX021686	ERX021686	ERX015344	ERX015344	NA	CC22	gp1	1
ERX021687	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021688	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021689	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021690	ERX021690	ERX021690	ERX015344	ERX015344	CC22	gp1	0
ERX021691	ERX021690	ERX021690	ERX015344	ERX015344	CC22	gp1	0
ERX021692	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021693	ERX021693	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021694	ERX021694	ERX015344	ERX015344	ERX021694	CC22	gp1	0
ERX021695	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021697	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021698	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021699	ERX021699	ERX015344	ERX015344	NA	CC22	gp1	1
ERX021700	ERX021700	ERX305166	ERX015344	ERX015344	Other	gp1	0
ERX021701	ERX021701	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021702	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021703	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021704	ERX015371	ERX015344	ERX015344	ERX015371	CC22	gp1	0
ERX021706	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021707	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021708	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021709	ERX015373	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX021710	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX022161	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX022162	ERX022162	ERX015344	ERX015344	ERX088541	CC22	gp1	0
ERX022163	ERX015344	ERX015344	ERX015344	ERX015344	Other	gp1	0
ERX022164	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX022165	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX022166	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX022167	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX022168	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX022169	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX022170	ERX015344	ERX015344	ERX015344	ERX015344	Other	gp1	0
ERX022171	ERX022171	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX022172	ERX022172	ERX015344	ERX015344	ERX1222195	CC22	gp1	0
ERX022173	ERX015344	ERX015344	ERX015344	ERX015344	Other	gp1	0
ERX022174	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX022175	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX022176	ERX022176	ERX015344	ERX015344	NA	CC22	gp1	1
ERX022177	ERX022176	ERX015344	ERX015344	NA	CC22	gp1	1
ERX022178	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX022179	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX022180	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX022181	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX022501	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX022505	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX022509	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX022521	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX022525	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX022535	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX022904	ERX022904	ERX015344	ERX015344	NA	CC22	gp1	1
ERX022905	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX022906	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX022907	ERX015871	ERX015344	ERX015556	ERX015556	CC45	gp1	0
ERX022908	ERX022908	ERX015344	ERX015308	ERX022908	CC30	gp3	0
ERX022909	ERX022909	ERX015344	ERX047894	ERX047894	Other	gp3	0
ERX022910	ERX022910	ERX015878	ERX015893	ERX022910	Other	gp2	0
ERX022911	ERX022904	ERX015344	ERX015344	NA	CC22	gp1	1
ERX022912	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX022913	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX022914	ERX015871	ERX015344	ERX015556	ERX015556	CC45	gp1	0
ERX022915	ERX022908	ERX015344	ERX015308	ERX022908	CC30	gp3	0
ERX022916	ERX022909	ERX015344	ERX047894	ERX047894	Other	gp3	0
ERX022917	ERX022910	ERX015878	ERX015893	ERX022910	Other	gp2	0
ERX022927	ERX022927	ERX022927	ERX015308	ERX015308	CC30	gp3	0
ERX022928	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX022929	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX022931	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX022937	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX022956	ERX022956	ERX022927	ERX015308	ERX015308	CC30	gp3	0
ERX022957	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX022958	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX022959	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX022960	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX022961	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX022963	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX022964	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX023465	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023470	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023474	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023478	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023482	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023483	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023490	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023494	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023498	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023499	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023506	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023510	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023511	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023515	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023519	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023523	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023528	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023533	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023537	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023541	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023545	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023546	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023550	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023557	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023561	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023562	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023566	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023570	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023574	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023580	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023584	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX023588	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX025403	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025404	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025405	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025406	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025407	ERX025407	ERX015344	ERX063815	ERX025407	CC8	gp1	0
ERX025408	ERX025407	ERX015344	ERX063815	ERX025407	CC8	gp1	0
ERX025409	ERX025409	ERX015344	ERX063815	ERX025409	CC8	gp1	0
ERX025410	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025412	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025413	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025415	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025416	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025417	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025418	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025421	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025422	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025425	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025426	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025427	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025429	ERX025407	ERX015344	ERX063815	ERX025407	CC8	gp1	0
ERX025430	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025431	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025432	ERX025409	ERX015344	ERX063815	ERX025409	CC8	gp1	0
ERX025434	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025435	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025436	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025438	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025441	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025443	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025445	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025446	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025447	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025449	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025452	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025454	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025456	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025457	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025458	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025465	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025467	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025469	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025472	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025473	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025474	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025475	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025476	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025477	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025479	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025480	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025481	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025482	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025483	ERX025483	ERX015344	ERX063815	ERX025483	CC8	gp1	0
ERX025485	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025487	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025488	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025489	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025490	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025491	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025493	ERX025493	ERX015344	ERX015308	ERX025493	CC30	gp3	0
ERX025495	ERX025495	ERX015344	ERX063815	ERX025495	Other	gp1	0
ERX025496	ERX025409	ERX015344	ERX063815	ERX025409	CC8	gp1	0
ERX025497	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025498	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025499	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025500	ERX025500	ERX385152	ERX063815	ERX001214	CC8	gp1	0
ERX025501	ERX025500	ERX385152	ERX063815	ERX001214	CC8	gp1	0
ERX025502	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025503	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025504	ERX025504	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025506	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025508	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX025509	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
